id,duration,country
tt0016480,110,USA
tt0016481,72,Germany
tt0016491,114,France
tt0016493,80,France
tt0016544,81,USA
tt0016545,68,USA
tt0016548,70,USA
tt0016559,65,Soviet Union
tt0016560,80,USA
tt0016563,110,Germany
tt0016627,90,USA
tt0016629,86,USA
tt0016630,77,USA
tt0016634,101,USA
tt0016640,68,USA
tt0016641,143,USA
tt0016643,95,USA
tt0016646,70,USA
tt0016654,88,USA
tt0016655,86,USA
tt0016664,58,USA
tt0016669,95,USA
tt0016672,64,USA
tt0016690,85,USA
tt0016691,104,Norway
tt0016762,66,USA
tt0016804,110,USA
tt0016822,75,USA
tt0016827,75,USA
tt0016832,77,USA
tt0016847,107,Germany
tt0016854,70,USA
tt0016871,70,USA
tt0016884,112,USA
tt0016895,58,USA
tt0016914,97,Germany
tt0016939,53,USA
tt0016947,60,USA
tt0016953,100,Germany
tt0016971,48,USA
tt0017004,70,USA
tt0017028,77,USA
tt0017029,108,USA
tt0017048,70,Japan
tt0017075,68,UK
tt0017082,76,USA
tt0017096,95,Italy
tt0017103,83,USA
tt0017119,86,USA
tt0017120,102,USA
tt0017128,89,Soviet Union
tt0017136,153,Germany
tt0017159,250,Soviet Union
tt0017195,62,Soviet Union
tt0017196,150,France
tt0017198,80,UK
tt0017226,111,USA
tt0017271,80,Soviet Union
tt0017293,66,Soviet Union
tt0017329,70,USA
tt0017338,105,Austria
tt0017350,115,USA
tt0017354,136,USA
tt0017374,66,USA
tt0017378,84,Soviet Union
tt0017382,82,USA
tt0017409,80,USA
tt0017410,67,USA
tt0017416,68,USA
tt0017419,90,USA
tt0017423,110,USA
tt0017437,75,USA
tt0017438,110,Germany
tt0017448,74,Germany
tt0017449,117,USA
tt0017463,92,USA
tt0017480,88,USA
tt0017483,62,USA
tt0017519,120,USA
tt0017534,95,USA
tt0017540,116,USA
tt0017567,89,USA
tt0017619,60,USA
tt0017621,108,Germany
tt0017632,90,USA
tt0017653,67,Soviet Union
tt0017662,67,USA
tt0017667,99,USA
tt0017735,87,USA
tt0017736,132,France
tt0017739,108,USA
tt0017750,118,USA
tt0017751,70,USA
tt0017765,66,USA
tt0017809,60,Soviet Union
tt0017825,80,UK
tt0017832,62,USA
tt0017843,80,UK
tt0017860,71,USA
tt0017886,75,USA
tt0017918,115,USA
tt0017925,67,USA
tt0017928,63,USA
tt0017938,45,France
tt0017961,95,Soviet Union
tt0017998,120,UK
tt0018014,85,USA
tt0018016,64,USA
tt0018033,72,USA
tt0018037,88,USA
tt0018045,135,France
tt0018051,82,USA
tt0018054,155,USA
tt0018066,85,Soviet Union
tt0018087,104,Germany
tt0018097,69,USA
tt0018102,60,USA
tt0018107,82,USA
tt0018113,78,USA
tt0018138,70,USA
tt0018166,75,USA
tt0018179,91,USA
tt0018183,80,USA
tt0018192,240,France
tt0018217,142,Soviet Union
tt0018218,88,USA
tt0018235,70,USA
tt0018247,76,USA
tt0018253,150,USA
tt0018297,115,USA
tt0018311,74,USA
tt0018328,116,UK
tt0018351,68,USA
tt0018362,68,USA
tt0018379,110,USA
tt0018389,70,USA
tt0018392,80,UK
tt0018397,76,USA
tt0018413,80,USA
tt0018440,78,USA
tt0018451,106,USA
tt0018455,94,USA
tt0018464,57,USA
tt0018471,103,USA
tt0018487,70,USA
tt0018505,86,Soviet Union
tt0018513,85,USA
tt0018515,92,USA
tt0018523,60,France
tt0018524,144,USA
tt0018526,80,USA
tt0018528,63,USA
tt0018530,60,USA
tt0018566,111,USA
tt0018578,144,USA
tt0018579,68,USA
tt0018588,76,Germany
tt0018615,107,Germany
tt0018618,85,USA
tt0018678,88,USA
tt0018684,100,USA
tt0018722,70,USA
tt0018737,109,Germany
tt0018742,76,USA
tt0018749,50,USA
tt0018756,86,UK
tt0018770,63,France
tt0018773,72,USA
