id,rating,votes,avg_0-18,num_0-18,avg_18-30,num_18-30,avg_30-45,num_30-45,avg_45up,num_45up
tt0047603,6.5,1221,0,0,6.9,62,6.6,399,6.4,731
tt0047625,5.8,145,0,0,6,3,6,31,5.8,107
tt0047628,7.1,189,0,0,7,28,7.1,98,6.6,57
tt0047629,6.8,82,0,0,7.2,4,7.2,26,6.5,51
tt0047630,6.7,2257,0,0,6.7,209,6.6,905,6.7,1069
tt0047634,5.9,142,0,0,6.5,2,5.4,27,6,110
tt0047638,7.5,632,0,0,7.6,97,7.5,290,7.3,232
tt0047641,5.9,769,0,0,5.7,29,5.7,172,6,553
tt0047644,6.7,132,0,0,6.9,12,7,67,6,48
tt0047647,7.1,6249,6,1,7.2,552,7,2512,7.1,3034
tt0047650,7.6,321,0,0,7.7,29,7.7,198,6.9,84
tt0047669,5.8,101,0,0,5.5,4,5.6,19,5.8,77
tt0047673,7.3,14041,7.5,5,7.4,2046,7.2,5515,7.5,5819
tt0047674,6.4,115,0,0,6.5,2,6.3,21,6.5,88
tt0047675,4.6,102,0,0,0,0,4.5,18,4.7,83
tt0047676,6.9,265,0,0,7.5,7,6.5,54,7,197
tt0047677,6.8,9241,7,2,6.9,1442,6.8,4390,6.8,3156
tt0047679,6.6,1422,0,0,6.6,85,6.4,462,6.7,839
tt0047680,6.8,448,0,0,6.4,10,6.8,84,6.8,337
tt0047681,5.8,263,0,0,5.8,5,5.6,86,5.9,167
tt0047682,7.9,1045,0,0,7.9,159,7.9,545,7.8,327
tt0047684,6.6,109,0,0,6,1,6.4,13,6.6,91
tt0047685,5.7,120,0,0,5.8,4,5.6,36,5.8,79
tt0047686,6.2,200,0,0,5.8,5,5.5,24,6.4,165
tt0047688,6.6,1012,1,1,6.3,38,6.5,234,6.6,700
tt0047696,4.3,73,5,1,5.9,9,4.3,35,3.8,28
tt0047788,6.6,176,0,0,7.1,6,6.3,57,6.6,106
tt0047789,6,160,0,0,6.5,4,5.6,49,6.1,102
tt0047790,6.5,93,0,0,6.8,4,6.9,29,6.2,59
tt0047794,6.6,1299,0,0,7.2,69,6.5,581,6.5,633
tt0047795,6.3,3228,6,2,6.7,293,6.2,1308,6.3,1550
tt0047797,6.6,819,0,0,6.3,21,6.4,192,6.7,581
tt0047811,7.6,7745,7,2,7.9,1550,7.6,3661,7.4,2335
tt0047813,5.2,181,0,0,5.3,3,5.5,31,5.1,145
tt0047817,6,80,0,0,7,2,6.2,21,5.9,56
tt0047818,7,74,0,0,8.5,4,6.9,14,6.8,56
tt0047820,5.6,335,0,0,5.7,12,5.2,67,5.6,250
tt0047821,7.2,1646,0,0,7.2,254,7.2,800,7.2,558
tt0047822,6.8,88,0,0,7.2,4,7.8,22,6.3,59
tt0047830,6.5,74,0,0,6,1,5.7,8,6.6,64
tt0047832,6.8,114,0,0,7.8,5,6.2,37,7,72
tt0047834,7.2,9426,7,19,7.1,2360,7.3,4968,7.2,1805
tt0047837,4.4,71,0,0,4.7,3,4.4,14,4.5,51
tt0047839,6.6,145,0,0,6.7,17,6.7,45,6.4,78
tt0047840,6.6,2098,0,0,6.8,173,6.3,754,6.8,1117
tt0047844,6.2,320,0,0,6.9,7,6.3,55,6.2,251
tt0047849,7.7,12898,7,2,7.6,1348,7.6,5332,7.8,5908
tt0047853,5.8,83,0,0,7.5,4,6.1,27,5.6,50
tt0047860,6.5,1383,0,0,6.9,23,6.1,258,6.6,1074
tt0047861,5.7,129,0,0,4.2,4,5.4,15,5.8,105
tt0047865,4.8,103,0,0,0,0,5.1,17,4.7,84
tt0047870,6.3,71,0,0,6.8,4,6.4,28,6.1,38
tt0047871,6.1,179,0,0,6.6,10,6,66,6.2,99
tt0047872,5,120,0,0,4,2,5,17,5,100
tt0047873,6.6,648,0,0,6.7,22,6.3,111,6.7,495
tt0047876,7.5,3211,0,0,7.6,498,7.6,1561,7.4,1082
tt0047877,5.7,253,0,0,6.1,7,5.5,61,5.8,180
tt0047878,7.4,4311,9,1,7.5,482,7.4,1875,7.4,1854
tt0047879,6.6,450,0,0,7.2,15,6.4,112,6.6,312
tt0047880,6.8,2111,0,0,7,107,6.8,802,6.8,1157
tt0047885,7.4,5065,0,0,7.5,422,7.4,1945,7.4,2589
tt0047889,6.3,1827,0,0,6.3,69,6.1,459,6.4,1246
tt0047892,7.7,7255,7,1,7.8,1197,7.7,3875,7.7,2033
tt0047895,6.6,100,0,0,8,9,7,54,5.3,35
tt0047896,6.6,99,0,0,6.4,9,6.7,37,6.6,49
tt0047898,4.1,4433,3.8,4,4.2,581,4.1,2394,4.2,1371
tt0047904,6,619,0,0,5.7,16,5.9,174,6.1,413
tt0047913,6.3,108,0,0,7,1,6.4,31,6.2,73
tt0047919,6.2,457,0,0,6.7,19,6.2,144,6.2,287
tt0047923,7,350,0,0,7.1,10,7,76,7,250
tt0047925,6.9,425,0,0,7.1,36,6.8,206,6.8,173
tt0047926,6.4,196,0,0,6,4,6.1,37,6.5,150
tt0047930,7.4,974,9.5,2,7.4,143,7.6,532,6.8,269
tt0047932,5,206,0,0,7.1,7,5.2,71,4.8,123
tt0047934,6.4,133,0,0,7.5,2,6.6,20,6.3,108
tt0047935,6.2,322,0,0,7.5,7,5.9,64,6.3,248
tt0047937,7.3,453,0,0,7.1,48,7.4,257,7.1,140
tt0047940,6.8,95,0,0,6.6,10,7.2,28,6.5,53
tt0047944,6.5,881,0,0,7,40,6.5,252,6.4,565
tt0047945,7,1531,0,0,6.8,85,7,457,7,932
tt0047947,5.7,953,0,0,5.9,41,5.6,311,5.8,586
tt0047948,6.4,169,0,0,6.8,4,5.9,28,6.6,132
tt0047951,6.6,83,0,0,6.4,5,6.6,27,6.7,46
tt0047954,6.5,221,0,0,6.5,2,6.2,32,6.6,181
tt0047956,6.9,1114,0,0,6.9,39,6.7,282,7,773
tt0047958,6.9,318,0,0,7.2,14,7,96,6.9,203
tt0047960,5.4,679,0,0,5.5,37,5.3,205,5.4,429
tt0047962,6.2,140,0,0,6,2,6.4,27,6.1,109
tt0047966,5.7,643,0,0,6,30,5.6,193,5.8,408
tt0047969,6.6,1555,0,0,6.6,89,6.4,505,6.7,911
tt0047975,5.9,333,0,0,6.2,11,5.8,67,6,246
tt0047976,6.8,1176,0,0,7.2,144,6.8,534,6.5,474
tt0047977,7,2089,7.5,2,7.2,292,6.9,799,7.1,925
tt0047978,6.5,154,0,0,6.3,8,6.8,49,6.3,94
tt0047979,7.2,168,0,0,7.1,17,7.7,89,6.1,59
tt0047982,7.1,298,0,0,7.1,19,7.2,76,7.1,196
tt0047983,5.4,139,0,0,4.5,7,5.9,28,5.5,102
tt0047985,7.5,5729,7,1,7.6,391,7.4,2467,7.6,2752
tt0047986,7,200,0,0,7,15,7,102,7,76
tt0047988,6.1,85,0,0,6.1,8,6.1,41,6.2,34
tt0047989,5.8,200,0,0,5.8,4,6,69,5.6,122
tt0047990,7.9,1085,0,0,8.3,379,7.7,514,6.8,149
tt0047991,6.3,145,0,0,10,1,8.7,94,5,50
tt0047998,7.1,105,0,0,8.1,14,8.1,55,4.7,33
tt0048001,5.8,506,0,0,6.1,11,5.5,108,5.8,376
tt0048002,7.2,1259,0,0,7.3,106,7.2,547,7.1,564
tt0048005,6.4,107,0,0,7,4,6.9,22,6.2,80
tt0048006,5.8,122,0,0,7.2,4,5.7,26,5.8,89
tt0048014,7.6,411,10,1,7.8,45,7.7,154,7.3,191
tt0048021,8.2,17609,7.4,6,8.3,3093,8.2,9420,8.2,4695
tt0048027,6.9,66,0,0,7.3,3,6.9,29,6.8,33
tt0048028,7.9,23220,8.3,11,8,4582,7.8,10929,7.9,6995
tt0048034,6.6,594,0,0,6.7,21,6.8,162,6.6,401
tt0048037,7.8,3101,0,0,7.9,502,7.7,1645,7.7,880
tt0048039,6.9,246,0,0,6.9,25,6.9,109,6.9,109
tt0048040,6.6,150,0,0,6.5,8,6.9,51,6.2,89
tt0048043,6.4,92,0,0,8,2,6.3,9,6.4,79
tt0048044,5.8,317,0,0,6.7,7,5.4,67,5.9,240
tt0048047,6.2,148,0,0,6,2,5.9,30,6.3,114
tt0048055,7.2,4421,8.5,2,7.1,316,7.1,1628,7.3,2359
tt0048056,6.1,653,0,0,6.4,22,5.9,146,6.2,470
tt0048058,5.7,140,0,0,5.9,41,5.7,66,5.3,31
tt0048064,6.4,531,0,0,7.2,16,6.6,131,6.2,364
tt0048070,4.1,70,0,0,2.5,2,4.5,16,4.1,51
tt0048072,6.5,162,0,0,7.8,4,6.4,34,6.5,120
tt0048077,5.9,731,0,0,6.1,21,5.9,208,5.8,488
tt0048078,4.9,492,0,0,4.6,12,4.7,185,5,288
tt0048079,6.3,75,0,0,10,1,5.4,11,6.5,62
tt0048087,7,987,0,0,7.2,32,6.9,302,7.1,635
tt0048090,5.2,184,0,0,5.6,6,5.3,31,5.2,146
tt0048091,6.1,222,0,0,5,1,5.5,49,6.3,164
tt0048092,5.7,363,0,0,5.5,12,5.2,83,5.9,264
tt0048103,4.9,80,0,0,1,1,5.5,18,4.9,59
tt0048104,7.1,165,0,0,7.2,9,7.2,44,6.9,107
tt0048109,6.4,247,0,0,6.9,6,6.2,77,6.6,161
tt0048111,5,260,0,0,4.7,7,4.8,62,5.1,185
tt0048112,6.8,478,0,0,6.8,11,6.3,92,6.9,367
tt0048118,5,57,0,0,0,0,4.1,7,5.2,49
tt0048119,6.5,471,0,0,5.9,11,6.6,122,6.4,327
tt0048121,5.9,309,0,0,5.3,52,5.9,127,6.2,125
tt0048123,5.6,102,0,0,6.5,2,5.3,16,5.7,83
tt0048124,6.2,509,0,0,6,26,6.3,132,6.1,340
tt0048127,5.9,3477,4.6,7,5.8,888,5.9,1570,5.9,874
tt0048130,6.9,443,0,0,7.1,7,6.1,60,7.1,366
tt0048132,6.8,120,0,0,0,0,6.1,24,6.9,91
tt0048133,6.8,548,0,0,6.6,20,6.7,180,6.9,339
tt0048139,4.8,132,0,0,5.6,5,4.6,19,4.8,107
tt0048140,7.1,7742,8.5,2,7.3,1111,7,3144,7,3278
tt0048150,5,82,0,0,3.5,2,4.2,51,6.6,28
tt0048152,6.4,97,0,0,6.6,6,6.6,29,6.3,60
tt0048158,6.4,290,0,0,6.5,11,6.2,69,6.5,203
tt0048160,5.9,183,0,0,6,3,5.7,39,6,134
tt0048166,6.3,200,0,0,5,2,7,61,6.2,135
tt0048169,7.1,145,0,0,7.2,9,6.8,42,7.4,92
tt0048170,7.1,280,0,0,7.4,19,7.3,134,6.7,120
tt0048171,6.7,360,0,0,7,12,6.6,78,6.7,254
tt0048182,6.9,1955,0,0,7.2,116,6.9,790,6.7,1018
tt0048183,5.3,91,0,0,0,0,5.7,14,5.2,76
tt0048187,6.6,68,0,0,0,0,7,13,6.4,55
tt0048188,6.5,294,0,0,8,3,6.2,49,6.5,235
tt0048190,6.4,549,0,0,6.4,11,6.2,115,6.5,414
tt0048191,7.1,1042,0,0,7.3,62,6.9,240,7.2,708
tt0048193,6.9,299,8,1,7.2,12,6.8,88,6.9,190
tt0048198,7.3,2775,0,0,7.4,512,7.3,1471,7.2,713
tt0048199,7,1081,0,0,7.1,36,7,327,7,686
tt0048201,5.6,81,0,0,5.8,5,6.1,25,5.3,48
tt0048204,6.4,1464,0,0,6.6,77,6.3,442,6.4,904
tt0048207,6.6,78,0,0,7.8,4,6.7,31,6.4,43
tt0048208,6.9,148,0,0,7.7,24,7.3,63,5.8,59
tt0048210,6.7,467,0,0,7.1,26,6.5,117,6.7,310
tt0048211,6.7,161,0,0,6,1,6.9,30,6.7,124
tt0048215,5.9,3285,3.5,2,6.1,259,5.8,1205,6,1739
tt0048216,7,1648,0,0,7.4,155,7.1,580,6.8,867
tt0048217,6.6,199,0,0,6.6,9,6.7,38,6.6,144
tt0048222,6.4,180,0,0,5.5,2,6.7,60,6.2,117
tt0048223,6.8,95,0,0,6.1,16,6.9,49,7,29
tt0048227,6.2,170,0,0,5.4,23,6,66,6.6,80
tt0048230,6.4,106,0,0,6,1,6.2,14,6.5,89
tt0048231,6.4,114,0,0,8,1,6.6,16,6.3,94
tt0048233,7.1,2349,0,0,7.5,155,7.1,757,7.1,1383
tt0048235,5.6,111,0,0,6,1,4.7,12,5.8,95
tt0048238,6,184,0,0,7.5,2,7.5,99,5.3,83
tt0048239,5.5,262,0,0,6.2,7,5.7,56,5.5,190
tt0048240,5.8,122,0,0,6.5,22,5.7,54,5.8,41
tt0048248,6.2,1577,0,0,6.5,60,6,436,6.3,1042
tt0048250,6.4,533,0,0,6,17,6.2,144,6.6,362
tt0048253,6,89,0,0,6,13,6.1,54,5.9,19
tt0048254,6.6,14211,6.3,17,6.6,3183,6.7,7555,6.7,3059
tt0048255,6.7,76,0,0,6.5,2,7,15,6.7,59
