id,votes,rating,avg_0-18,num_0-18,avg_18-30,num_18-30,avg_30-45,num_30-45,avg_45up,num_45up
tt0050243,1059,7.8,7,1,7.9,190,7.8,373,7.6,233
tt0050246,1039,7.1,0,0,7.3,36,7.1,222,7.1,575
tt0050249,286,6.1,0,0,6.8,5,5.7,50,6.1,177
tt0050251,1239,6.1,5,1,6.3,124,5.9,380,6.2,475
tt0050252,622,6.3,2,1,6.6,34,6.3,184,6.3,292
tt0050260,267,6.3,0,0,7,33,6.4,103,5.8,84
tt0050263,449,7.1,0,0,7,38,7.2,168,6.8,139
tt0050265,137,5.6,0,0,0,0,5.5,14,5.8,96
tt0050271,1775,6.5,7,1,6.2,80,6.4,467,6.5,891
tt0050280,8585,7.1,7.5,4,7.2,1044,7.2,3130,7.1,2637
tt0050281,813,4.5,0,0,4.1,36,4.4,189,4.5,437
tt0050282,441,7.6,0,0,7.6,74,7.8,185,7.1,112
tt0050283,868,7.3,0,0,6.9,11,6.9,84,7.4,537
tt0050285,137,5.7,0,0,5.6,5,5.8,24,5.6,81
tt0050287,203,5.6,0,0,5.5,2,5.7,39,5.7,125
tt0050292,386,5.5,0,0,5.6,15,5.8,93,5.4,203
tt0050293,116,6,0,0,8,2,6,12,6.1,80
tt0050294,2869,5.1,2.7,3,4.9,203,4.6,865,5.5,1184
tt0050295,170,6.2,0,0,7.2,4,5.9,24,6.3,115
tt0050296,2131,6.9,0,0,6.9,125,6.9,580,6.8,1020
tt0050298,305,6.2,0,0,7.1,5,6.3,31,6.1,211
tt0050299,241,5.5,0,0,5.5,5,5.7,49,5.4,125
tt0050301,1183,6.5,0,0,6.9,56,6.5,257,6.4,594
tt0050302,475,5.7,0,0,6.4,30,5.5,148,5.7,209
tt0050303,289,7.5,0,0,7.8,21,7.6,141,6.7,77
tt0050306,3875,6.8,7.5,2,6.9,297,6.8,1146,6.8,1569
tt0050307,7244,7.3,6,2,7.2,450,7.1,2074,7.4,3040
tt0050312,410,7.2,0,0,7.4,46,7.2,210,7,86
tt0050316,113,6.4,0,0,0,0,7.3,19,5.8,67
tt0050317,228,4.8,0,0,6.5,4,4.9,46,4.8,143
tt0050322,1547,8.4,0,0,8.3,295,8.5,798,6.8,133
tt0050323,632,6.1,0,0,5.7,13,5.7,98,6.1,367
tt0050325,134,6.2,0,0,5,1,5.7,21,6.3,99
tt0050326,723,7.4,0,0,7.3,73,7.4,287,7.3,229
tt0050327,567,6.2,0,0,5.4,7,6,68,6.3,362
tt0050330,4399,7.4,9,1,7.4,511,7.4,1912,7.4,1046
tt0050332,385,8.2,0,0,8,59,8.6,173,7.2,89
tt0050336,264,6,0,0,6,6,5.9,40,6,163
tt0050337,100,5.9,0,0,4.7,3,5.3,17,6.2,55
tt0050338,287,6.1,0,0,6.5,4,6.1,47,6,177
tt0050347,2215,7.2,0,0,7.2,119,7.1,671,7.2,995
tt0050356,9095,7.5,0,0,7.5,448,7.3,2707,7.6,4096
tt0050359,834,7.5,0,0,7.6,129,7.5,338,7.3,207
tt0050363,409,5.7,0,0,5.2,14,5.6,94,6,193
tt0050367,727,6.8,0,0,7.5,33,6.9,252,6.8,318
tt0050371,12500,8.2,9,1,8.3,1255,8.1,4133,8.2,4623
tt0050377,294,6,4,1,6,83,6.1,114,5.4,40
tt0050379,2267,5.9,0,0,5.5,145,5.9,582,5.9,1071
tt0050381,1661,5.4,0,0,4.9,106,5.2,529,5.6,654
tt0050383,1573,7,9,1,7.3,50,6.8,361,7,758
tt0050385,238,6.2,0,0,7.1,11,5.9,26,6.2,158
tt0050388,224,6.1,0,0,6.4,8,5.8,74,6.1,81
tt0050393,3212,6.2,8,3,6.2,251,6.1,1152,6.3,1191
tt0050397,1320,6,0,0,5.6,43,5.8,283,6.1,714
tt0050398,1026,7.4,7,1,7.6,158,7.4,426,6.6,183
tt0050404,112,6.2,0,0,6.3,3,6.4,13,6.3,77
tt0050405,360,6.9,0,0,6.6,6,6.9,68,7,219
tt0050407,4225,7,3.5,2,7.2,337,7.1,1565,6.9,1574
tt0050414,1165,3.7,4,1,3.2,76,3.8,326,3.8,505
tt0050419,24654,7,7.8,14,7.2,5633,6.9,8640,7,4718
tt0050420,223,6.3,0,0,4,1,6.3,35,6.3,146
tt0050422,447,5.9,0,0,6,22,5.8,101,5.7,216
tt0050424,492,6.7,0,0,7.4,15,6.6,98,6.7,302
tt0050432,2927,4.5,4,2,4.2,338,4.6,924,4.5,1079
tt0050435,104,6.7,0,0,6.5,8,6.6,29,6.8,52
tt0050438,314,6,7,1,6,11,5.9,50,6,168
tt0050439,575,5.5,0,0,5.9,13,5.5,133,5.5,319
tt0050454,538,6.9,0,0,6.8,26,6.9,150,6.9,227
tt0050456,1212,7.3,0,0,7.6,30,7.3,230,7.2,679
tt0050457,104,5.9,0,0,5.6,6,6.4,14,5.6,57
tt0050458,3951,7.7,0,0,7.7,566,7.6,1632,7.6,1003
tt0050465,127,4.8,0,0,0,0,4.1,11,4.9,92
tt0050466,202,6,0,0,5,1,5.9,35,6,125
tt0050467,634,6.2,6,1,6.9,13,6.1,97,6.2,374
tt0050468,12777,7.2,9,1,7.1,900,7.1,4041,7.3,5175
tt0050470,991,6.4,0,0,6.2,33,6.2,168,6.3,548
tt0050471,408,6.3,0,0,6.2,8,6.2,45,6.4,273
tt0050476,119,6.7,0,0,6.8,11,6.7,60,6.6,29
tt0050478,138,6.8,0,0,8,1,6.5,26,6.9,84
tt0050480,273,3.3,0,0,2.4,25,3,94,3.5,102
tt0050481,350,6.4,0,0,6,8,6.6,57,6.4,209
tt0050483,305,5.8,5,1,6.6,13,5.9,57,5.8,154
tt0050484,228,7.6,0,0,8.6,56,7.9,90,3,25
tt0050485,266,6.3,0,0,6.3,6,6.2,51,6.3,143
tt0050487,1001,7.2,0,0,7.1,45,7.2,221,7.1,538
tt0050490,7327,7.3,0,0,7.5,412,7.2,2058,7.4,3339
tt0050494,674,6.4,0,0,6.8,30,6.3,107,6.4,392
tt0050495,180,6.4,0,0,5,2,6.1,28,6.5,129
tt0050500,833,5.4,0,0,6.1,17,5.4,135,5.5,499
tt0050506,182,5.6,0,0,4.8,4,5.7,33,5.6,119
tt0050507,109,6.1,0,0,10,1,5.4,17,6.4,66
tt0050510,173,5.7,0,0,4,3,5.7,22,5.8,112
tt0050512,126,6.4,0,0,5.8,5,6.1,21,6.7,83
tt0050515,142,5.5,0,0,6,3,5.7,19,5.4,90
