year,nomination,film,win
1986,Best Performance by an Actor In A Television Series - Drama,Miami Vice,FALSE
1986,Best Performance by an Actor In A Television Series - Drama,"Magnum, P. I.",FALSE
1986,Best Performance by an Actress in a Television Series - Musical or Comedy,Moonlighting,TRUE
1986,Best Performance by an Actress in a Television Series - Musical or Comedy,"Golden Girls, The",FALSE
1986,Best Performance by an Actress in a Television Series - Musical or Comedy,"Golden Girls, The",FALSE
1986,Best Performance by an Actress in a Television Series - Musical or Comedy,"Golden Girls, The",FALSE
1986,Best Performance by an Actress in a Television Series - Musical or Comedy,"Golden Girls, The",FALSE
1986,Best Performance by an Actor in a Television Series - Musical or Comedy,Moonlighting,TRUE
1986,Best Performance by an Actor in a Television Series - Musical or Comedy,Cheers,FALSE
1986,Best Performance by an Actor in a Television Series - Musical or Comedy,Who's the Boss?,FALSE
1986,Best Performance by an Actor in a Television Series - Musical or Comedy,Family Ties,FALSE
1986,Best Performance by an Actor in a Television Series - Musical or Comedy,"Cosby Show, The",FALSE
1986,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Anastasia: The Mystery of Anna,TRUE
1986,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Promise,FALSE
1986,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Nazi Hunter: The Beate Klarsfeld Story,FALSE
1986,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Peter The Great,FALSE
1986,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Cheers,FALSE
1986,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Family Ties,FALSE
1986,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Anastasia: The Mystery of Anna,TRUE
1986,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Nazi Hunter: The Beate Klarsfeld Story,FALSE
1986,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television","Magnum, P. I.",FALSE
1986,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Christmas Eve,FALSE
1986,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Christmas Eve,FALSE
1986,Cecil B. deMille Award,,FALSE
1987,Best Motion Picture - Drama,"Last Emperor, The",TRUE
1987,Best Motion Picture - Drama,Empire of the Sun,FALSE
1987,Best Motion Picture - Drama,Fatal Attraction,FALSE
1987,Best Motion Picture - Drama,La Bamba,FALSE
1987,Best Motion Picture - Drama,Nuts,FALSE
1987,Best Motion Picture - Drama,Cry Freedom,FALSE
1987,Best Motion Picture - Musical or Comedy,Hope and Glory,TRUE
1987,Best Motion Picture - Musical or Comedy,Baby Boom,FALSE
1987,Best Motion Picture - Musical or Comedy,Broadcast News,FALSE
1987,Best Motion Picture - Musical or Comedy,Dirty Dancing,FALSE
1987,Best Motion Picture - Musical or Comedy,Moonstruck,FALSE
1987,Best Performance by an Actress in a Motion Picture - Drama,Anna,TRUE
1987,Best Performance by an Actress in a Motion Picture - Drama,Fatal Attraction,FALSE
1987,Best Performance by an Actress in a Motion Picture - Drama,Barfly,FALSE
1987,Best Performance by an Actress in a Motion Picture - Drama,Gaby: A True Story,FALSE
1987,Best Performance by an Actress in a Motion Picture - Drama,Nuts,FALSE
1987,Best Performance by an Actor in a Motion Picture - Drama,Wall Street,TRUE
1987,Best Performance by an Actor in a Motion Picture - Drama,"Last Emperor, The",FALSE
1987,Best Performance by an Actor in a Motion Picture - Drama,Ironweed,FALSE
1987,Best Performance by an Actor in a Motion Picture - Drama,Weeds,FALSE
1987,Best Performance by an Actor in a Motion Picture - Drama,Cry Freedom,FALSE
1987,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Moonstruck,TRUE
1987,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Dirty Dancing,FALSE
1987,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Broadcast News,FALSE
1987,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Baby Boom,FALSE
1987,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Outrageous Fortune,FALSE
1987,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Good Morning, Vietnam",TRUE
1987,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Throw Momma From The Train,FALSE
1987,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Broadcast News,FALSE
1987,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Roxanne,FALSE
1987,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dirty Dancing,FALSE
1987,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Moonstruck,FALSE
1987,Best Performance by an Actress in a Supporting Role in any Motion Picture,Moonstruck,TRUE
1987,Best Performance by an Actress in a Supporting Role in any Motion Picture,Gaby: A True Story,FALSE
1987,Best Performance by an Actress in a Supporting Role in any Motion Picture,Fatal Attraction,FALSE
1987,Best Performance by an Actress in a Supporting Role in any Motion Picture,Throw Momma From The Train,FALSE
1987,Best Performance by an Actress in a Supporting Role in any Motion Picture,Prick Up Your Ears,FALSE
1987,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Untouchables, The",TRUE
1987,Best Performance by an Actor in a Supporting Role in any Motion Picture,Nuts,FALSE
1987,Best Performance by an Actor in a Supporting Role in any Motion Picture,Full Metal Jacket,FALSE
1987,Best Performance by an Actor in a Supporting Role in any Motion Picture,Street Smart,FALSE
1987,Best Performance by an Actor in a Supporting Role in any Motion Picture,Square Dance,FALSE
1987,Best Director - Motion Picture,"Last Emperor, The",TRUE
1987,Best Director - Motion Picture,Fatal Attraction,FALSE
1987,Best Director - Motion Picture,Cry Freedom,FALSE
1987,Best Director - Motion Picture,Hope and Glory,FALSE
1987,Best Director - Motion Picture,Broadcast News,FALSE
1987,Best Screenplay - Motion Picture,"Last Emperor, The",TRUE
1987,Best Screenplay - Motion Picture,Moonstruck,FALSE
1987,Best Screenplay - Motion Picture,Broadcast News,FALSE
1987,Best Screenplay - Motion Picture,Hope and Glory,FALSE
1987,Best Screenplay - Motion Picture,House of Games,FALSE
1987,Best Motion Picture - Foreign Language,"Sweden, Lasse Hallstr?m",TRUE
1987,Best Motion Picture - Foreign Language,"Italy, Nikita Mikhalkov",FALSE
1987,Best Motion Picture - Foreign Language,"France, Louis Malle",FALSE
1987,Best Motion Picture - Foreign Language,"France, Claude Berri",FALSE
1987,Best Motion Picture - Foreign Language,"United Soviet Socialist Republics, Tengiz Abuladze",FALSE
1987,Best Original Score - Motion Picture,"Last Emperor, The",TRUE
1987,Best Original Score - Motion Picture,Cry Freedom,FALSE
1987,Best Original Score - Motion Picture,Empire of the Sun,FALSE
1987,Best Original Score - Motion Picture,"Glass Menagerie, The",FALSE
1987,Best Original Score - Motion Picture,"Untouchables, The",FALSE
1987,Best Original Song - Motion Picture,Dirty Dancing,TRUE
1987,Best Original Song - Motion Picture,Beverly Hills Cop II,FALSE
1987,Best Original Song - Motion Picture,Who's That Girl,FALSE
1987,Best Original Song - Motion Picture,Mannequin,FALSE
1987,Best Original Song - Motion Picture,"Secret of My Success, The",FALSE
1987,Best Television Series - Drama,L.A. Law,TRUE
1987,Best Television Series - Drama,Beauty and the Beast (TV),FALSE
1987,Best Television Series - Drama,"Murder, She Wrote",FALSE
1987,Best Television Series - Drama,St. Elsewhere,FALSE
1987,Best Television Series - Drama,Thirtysomething,FALSE
1987,Best Television Series - Drama,"Year in the Life, A",FALSE
1987,Best Television Series - Musical or Comedy,"Golden Girls, The",TRUE
1987,Best Television Series - Musical or Comedy,Hooperman,FALSE
1987,Best Television Series - Musical or Comedy,Moonlighting,FALSE
1987,Best Television Series - Musical or Comedy,Cheers,FALSE
1987,Best Television Series - Musical or Comedy,Family Ties,FALSE
1987,Best Television Series - Musical or Comedy,Frank's Place,FALSE
1987,Best Television Limited Series or Motion Picture Made for Television,Escape From Sobibor,TRUE
1987,Best Television Limited Series or Motion Picture Made for Television,Poor Little Rich Girl: The Barbara Hutton Story,TRUE
1987,Best Television Limited Series or Motion Picture Made for Television,After the Promise,FALSE
1987,Best Television Limited Series or Motion Picture Made for Television,Echoes in the Darkness,FALSE
1987,Best Television Limited Series or Motion Picture Made for Television,Foxfire,FALSE
1987,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,"Betty Ford Story, The",TRUE
1987,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,"Two Mrs. Grenvilles, The",FALSE
1987,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Poor Little Rich Girl: The Barbara Hutton Story,FALSE
1987,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Out on a Limb,FALSE
1987,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Right to Die,FALSE
1987,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,LBJ: The Early Years,TRUE
1987,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,In Love and War (TV Movie),FALSE
1987,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Escape From Sobibor,FALSE
1987,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,After the Promise,FALSE
1987,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Long Day's Journey Into Night,FALSE
1987,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Billionaire Boys Club,FALSE
1987,Best Performance by an Actress In A Television Series - Drama,Beauty and the Beast (TV),FALSE
1987,Best Performance by an Actress In A Television Series - Drama,"Murder, She Wrote",FALSE
1987,Best Performance by an Actress In A Television Series - Drama,L.A. Law,FALSE
1987,Best Performance by an Actress In A Television Series - Drama,L.A. Law,FALSE
1987,Best Performance by an Actress In A Television Series - Drama,Cagney & Lacey,FALSE
1987,Best Performance by an Actor In A Television Series - Drama,"Year in the Life, A",TRUE
1987,Best Performance by an Actor In A Television Series - Drama,L.A. Law,FALSE
1987,Best Performance by an Actor In A Television Series - Drama,"Magnum, P. I.",FALSE
1987,Best Performance by an Actor In A Television Series - Drama,L.A. Law,FALSE
1987,Best Performance by an Actor In A Television Series - Drama,"Equalizer, The",FALSE
1987,Best Performance by an Actress in a Television Series - Musical or Comedy,"Tracey Ullman Show, The",TRUE
1987,Best Performance by an Actress in a Television Series - Musical or Comedy,"Golden Girls, The",FALSE
1987,Best Performance by an Actress in a Television Series - Musical or Comedy,"Golden Girls, The",FALSE
1987,Best Performance by an Actress in a Television Series - Musical or Comedy,Moonlighting,FALSE
1987,Best Performance by an Actress in a Television Series - Musical or Comedy,"Golden Girls, The",FALSE
1987,Best Performance by an Actor in a Television Series - Musical or Comedy,"Slap Maxwell Story, The",TRUE
1987,Best Performance by an Actor in a Television Series - Musical or Comedy,Growing Pains,FALSE
1987,Best Performance by an Actor in a Television Series - Musical or Comedy,Moonlighting,FALSE
1987,Best Performance by an Actor in a Television Series - Musical or Comedy,Family Ties,FALSE
1987,Best Performance by an Actor in a Television Series - Musical or Comedy,Hooperman,FALSE
1987,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television","Two Mrs. Grenvilles, The",TRUE
1987,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Moonlighting,FALSE
1987,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Newhart,FALSE
1987,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Amerika,FALSE
1987,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Cheers,FALSE
1987,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Escape From Sobibor,TRUE
1987,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Dynasty (1981-1989),FALSE
1987,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Growing Pains,FALSE
1987,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sworn To Silence,FALSE
1987,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television","Magnum, P. I.",FALSE
1987,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Night Court,FALSE
1987,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Billionaire Boys Club,FALSE
1987,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",L.A. Law,FALSE
1987,Cecil B. deMille Award,,FALSE
1988,Best Motion Picture - Drama,Rain Man,TRUE
1988,Best Motion Picture - Drama,"Cry in the Dark, A",FALSE
1988,Best Motion Picture - Drama,Gorillas in the Mist: The Adventure of Dian Fossey,FALSE
1988,Best Motion Picture - Drama,Mississippi Burning,FALSE
1988,Best Motion Picture - Drama,Running on Empty,FALSE
1988,Best Motion Picture - Drama,"Unbearable Lightness of Being, The",FALSE
1988,Best Motion Picture - Drama,"Accidental Tourist, The",FALSE
1988,Best Motion Picture - Musical or Comedy,Working Girl,TRUE
1988,Best Motion Picture - Musical or Comedy,Big,FALSE
1988,Best Motion Picture - Musical or Comedy,"Fish Called Wanda, A",FALSE
1988,Best Motion Picture - Musical or Comedy,Midnight Run,FALSE
1988,Best Motion Picture - Musical or Comedy,Who Framed Roger Rabbit,FALSE
1988,Best Performance by an Actress in a Motion Picture - Drama,"Accused, The",TRUE
1988,Best Performance by an Actress in a Motion Picture - Drama,Madame Sousatzka,TRUE
1988,Best Performance by an Actress in a Motion Picture - Drama,Gorillas in the Mist: The Adventure of Dian Fossey,TRUE
1988,Best Performance by an Actress in a Motion Picture - Drama,Running on Empty,FALSE
1988,Best Performance by an Actress in a Motion Picture - Drama,"Cry in the Dark, A",FALSE
1988,Best Performance by an Actor in a Motion Picture - Drama,Rain Man,TRUE
1988,Best Performance by an Actor in a Motion Picture - Drama,Mississippi Burning,FALSE
1988,Best Performance by an Actor in a Motion Picture - Drama,Dominick & Eugene,FALSE
1988,Best Performance by an Actor in a Motion Picture - Drama,Stand and Deliver,FALSE
1988,Best Performance by an Actor in a Motion Picture - Drama,Bird,FALSE
1988,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Working Girl,TRUE
1988,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Fish Called Wanda, A",FALSE
1988,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Crossing Delancey,FALSE
1988,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Married to the Mob,FALSE
1988,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Bull Durham,FALSE
1988,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Big,TRUE
1988,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Who Framed Roger Rabbit,FALSE
1988,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dirty Rotten Scoundrels,FALSE
1988,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Fish Called Wanda, A",FALSE
1988,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Midnight Run,FALSE
1988,Best Performance by an Actress in a Supporting Role in any Motion Picture,Working Girl,TRUE
1988,Best Performance by an Actress in a Supporting Role in any Motion Picture,Moon Over Parador,FALSE
1988,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Last Temptation of Christ, The",FALSE
1988,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Unbearable Lightness of Being, The",FALSE
1988,Best Performance by an Actress in a Supporting Role in any Motion Picture,Bird,FALSE
1988,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tucker: The Man and His Dream,TRUE
1988,Best Performance by an Actor in a Supporting Role in any Motion Picture,Running on Empty,FALSE
1988,Best Performance by an Actor in a Supporting Role in any Motion Picture,Little Dorrit,FALSE
1988,Best Performance by an Actor in a Supporting Role in any Motion Picture,Clara's Heart,FALSE
1988,Best Performance by an Actor in a Supporting Role in any Motion Picture,Moon Over Parador,FALSE
1988,Best Performance by an Actor in a Supporting Role in any Motion Picture,Stand and Deliver,FALSE
1988,Best Director - Motion Picture,Bird,TRUE
1988,Best Director - Motion Picture,Rain Man,FALSE
1988,Best Director - Motion Picture,Running on Empty,FALSE
1988,Best Director - Motion Picture,Working Girl,FALSE
1988,Best Director - Motion Picture,Mississippi Burning,FALSE
1988,Best Director - Motion Picture,"Cry in the Dark, A",FALSE
1988,Best Screenplay - Motion Picture,Running on Empty,TRUE
1988,Best Screenplay - Motion Picture,"Cry in the Dark, A",FALSE
1988,Best Screenplay - Motion Picture,Mississippi Burning,FALSE
1988,Best Screenplay - Motion Picture,Rain Man,FALSE
1988,Best Screenplay - Motion Picture,Working Girl,FALSE
1988,Best Motion Picture - Foreign Language,"Denmark, Bille August",TRUE
1988,Best Motion Picture - Foreign Language,"Denmark, Gabriel Axel",FALSE
1988,Best Motion Picture - Foreign Language,"Hungary, Istv?n Szab?",FALSE
1988,Best Motion Picture - Foreign Language,"India, Mira Nair",FALSE
1988,Best Motion Picture - Foreign Language,"Spain, Pedro Almod?var",FALSE
1988,Best Original Score - Motion Picture,Gorillas in the Mist: The Adventure of Dian Fossey,TRUE
1988,Best Original Score - Motion Picture,"Accidental Tourist, The",FALSE
1988,Best Original Score - Motion Picture,"Last Temptation of Christ, The",FALSE
1988,Best Original Score - Motion Picture,Madame Sousatzka,FALSE
1988,Best Original Score - Motion Picture,"Milagro Beanfield War, The",FALSE
1988,Best Original Song - Motion Picture,Working Girl,TRUE
1988,Best Original Song - Motion Picture,Buster,TRUE
1988,Best Original Song - Motion Picture,Cocktail,FALSE
1988,Best Original Song - Motion Picture,Twins,FALSE
1988,Best Original Song - Motion Picture,Oliver & Company,FALSE
1988,Best Original Song - Motion Picture,Bull Durham,FALSE
1988,Best Television Series - Drama,Thirtysomething,TRUE
1988,Best Television Series - Drama,Beauty and the Beast (TV),FALSE
1988,Best Television Series - Drama,L.A. Law,FALSE
1988,Best Television Series - Drama,"Murder, She Wrote",FALSE
1988,Best Television Series - Drama,Wiseguy,FALSE
1988,Best Television Series - Musical or Comedy,"Wonder Years, The",TRUE
1988,Best Television Series - Musical or Comedy,Cheers,FALSE
1988,Best Television Series - Musical or Comedy,"Golden Girls, The",FALSE
1988,Best Television Series - Musical or Comedy,Murphy Brown,FALSE
1988,Best Television Series - Musical or Comedy,Roseanne,FALSE
1988,Best Television Limited Series or Motion Picture Made for Television,War and Remembrance (Parts I - VII),TRUE
1988,Best Television Limited Series or Motion Picture Made for Television,Hemingway,FALSE
1988,Best Television Limited Series or Motion Picture Made for Television,Jack the Ripper,FALSE
1988,Best Television Limited Series or Motion Picture Made for Television,"Murder of Mary Phagan, The",FALSE
1988,Best Television Limited Series or Motion Picture Made for Television,"Tenth Man, The",FALSE
1988,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,"Ann Jillian Story, The",TRUE
1988,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,War and Remembrance (Parts I - VII),FALSE
1988,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,"Woman He Loved, The",FALSE
1988,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Baby M,FALSE
1988,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,"Man for All Seasons, A (1988)",FALSE
1988,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jack the Ripper,TRUE
1988,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Hemingway,TRUE
1988,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,"Bourne Identity, The",FALSE
1988,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,"Tenth Man, The",FALSE
1988,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,"Murder of Mary Phagan, The",FALSE
1988,Best Performance by an Actress In A Television Series - Drama,L.A. Law,TRUE
1988,Best Performance by an Actress In A Television Series - Drama,L.A. Law,TRUE
1988,Best Performance by an Actress In A Television Series - Drama,Cagney & Lacey,FALSE
1988,Best Performance by an Actress In A Television Series - Drama,Beauty and the Beast (TV),FALSE
1988,Best Performance by an Actress In A Television Series - Drama,"Murder, She Wrote",FALSE
1988,Best Performance by an Actor In A Television Series - Drama,Beauty and the Beast (TV),TRUE
1988,Best Performance by an Actor In A Television Series - Drama,L.A. Law,FALSE
1988,Best Performance by an Actor In A Television Series - Drama,L.A. Law,FALSE
1988,Best Performance by an Actor In A Television Series - Drama,In The Heat of the Night (TV),FALSE
1988,Best Performance by an Actor In A Television Series - Drama,Wiseguy,FALSE
1988,Best Performance by an Actress in a Television Series - Musical or Comedy,Murphy Brown,TRUE
1988,Best Performance by an Actress in a Television Series - Musical or Comedy,"Golden Girls, The",FALSE
1988,Best Performance by an Actress in a Television Series - Musical or Comedy,"Golden Girls, The",FALSE
1988,Best Performance by an Actress in a Television Series - Musical or Comedy,Roseanne,FALSE
1988,Best Performance by an Actress in a Television Series - Musical or Comedy,"Tracey Ullman Show, The",FALSE
1988,Best Performance by an Actor in a Television Series - Musical or Comedy,Family Ties,TRUE
1988,Best Performance by an Actor in a Television Series - Musical or Comedy,,TRUE
1988,Best Performance by an Actor in a Television Series - Musical or Comedy,Empty Nest,TRUE
1988,Best Performance by an Actor in a Television Series - Musical or Comedy,Cheers,FALSE
1988,Best Performance by an Actor in a Television Series - Musical or Comedy,Who's the Boss?,FALSE
1988,Best Performance by an Actor in a Television Series - Musical or Comedy,Roseanne,FALSE
1988,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Who's the Boss?,TRUE
1988,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",227 (TV Series),FALSE
1988,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Baja Oklahoma,FALSE
1988,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Cheers,FALSE
1988,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",L.A. Law,FALSE
1988,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",War and Remembrance (Parts I - VII),TRUE
1988,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",War and Remembrance (Parts I - VII),TRUE
1988,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television","Tenth Man, The",FALSE
1988,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Miami Vice,FALSE
1988,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jack the Ripper,FALSE
1988,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Growing Pains,FALSE
1988,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",L.A. Law,FALSE
1988,Cecil B. deMille Award,,FALSE
1989,Best Motion Picture - Drama,Born on the Fourth of July,TRUE
1989,Best Motion Picture - Drama,Crimes and Misdemeanors,FALSE
1989,Best Motion Picture - Drama,Dead Poets Society,FALSE
1989,Best Motion Picture - Drama,Do The Right Thing,FALSE
1989,Best Motion Picture - Drama,Glory,FALSE
1989,Best Motion Picture - Musical or Comedy,Driving Miss Daisy,TRUE
1989,Best Motion Picture - Musical or Comedy,"Little Mermaid, The",FALSE
1989,Best Motion Picture - Musical or Comedy,Shirley Valentine,FALSE
1989,Best Motion Picture - Musical or Comedy,"War of The Roses, The",FALSE
1989,Best Motion Picture - Musical or Comedy,When Harry Met Sally,FALSE
1989,Best Performance by an Actress in a Motion Picture - Drama,"Fabulous Baker Boys, The",TRUE
1989,Best Performance by an Actress in a Motion Picture - Drama,"Rose Garden, The",FALSE
1989,Best Performance by an Actress in a Motion Picture - Drama,Steel Magnolias,FALSE
1989,Best Performance by an Actress in a Motion Picture - Drama,Music Box,FALSE
1989,Best Performance by an Actress in a Motion Picture - Drama,"Sex, Lies, and Videotape",FALSE
1989,Best Performance by an Actor in a Motion Picture - Drama,Born on the Fourth of July,TRUE
1989,Best Performance by an Actor in a Motion Picture - Drama,My Left Foot,FALSE
1989,Best Performance by an Actor in a Motion Picture - Drama,Dad,FALSE
1989,Best Performance by an Actor in a Motion Picture - Drama,Sea of Love,FALSE
1989,Best Performance by an Actor in a Motion Picture - Drama,Dead Poets Society,FALSE
1989,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Driving Miss Daisy,TRUE
1989,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Shirley Valentine,FALSE
1989,Best Performance by an Actress in a Motion Picture - Musical or Comedy,When Harry Met Sally,FALSE
1989,Best Performance by an Actress in a Motion Picture - Musical or Comedy,She-Devil,FALSE
1989,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"War of The Roses, The",FALSE
1989,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Driving Miss Daisy,TRUE
1989,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Batman,FALSE
1989,Best Performance by an Actor in a Motion Picture - Musical or Comedy,When Harry Met Sally,FALSE
1989,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"War of The Roses, The",FALSE
1989,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Parenthood,FALSE
1989,Best Performance by an Actress in a Supporting Role in any Motion Picture,Steel Magnolias,TRUE
1989,Best Performance by an Actress in a Supporting Role in any Motion Picture,Scandal,FALSE
1989,Best Performance by an Actress in a Supporting Role in any Motion Picture,My Left Foot,FALSE
1989,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Sex, Lies, and Videotape",FALSE
1989,Best Performance by an Actress in a Supporting Role in any Motion Picture,Parenthood,FALSE
1989,Best Performance by an Actor in a Supporting Role in any Motion Picture,Glory,TRUE
1989,Best Performance by an Actor in a Supporting Role in any Motion Picture,In Country,FALSE
1989,Best Performance by an Actor in a Supporting Role in any Motion Picture,Do The Right Thing,FALSE
1989,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Dry White Season, A",FALSE
1989,Best Performance by an Actor in a Supporting Role in any Motion Picture,Indiana Jones and The Last Crusade,FALSE
1989,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jacknife,FALSE
1989,Best Director - Motion Picture,Born on the Fourth of July,TRUE
1989,Best Director - Motion Picture,Do The Right Thing,FALSE
1989,Best Director - Motion Picture,When Harry Met Sally,FALSE
1989,Best Director - Motion Picture,Dead Poets Society,FALSE
1989,Best Director - Motion Picture,Glory,FALSE
1989,Best Screenplay - Motion Picture,Born on the Fourth of July,TRUE
1989,Best Screenplay - Motion Picture,Dead Poets Society,FALSE
1989,Best Screenplay - Motion Picture,Do The Right Thing,FALSE
1989,Best Screenplay - Motion Picture,Glory,FALSE
1989,Best Screenplay - Motion Picture,"Sex, Lies, and Videotape",FALSE
1989,Best Screenplay - Motion Picture,When Harry Met Sally,FALSE
1989,Best Motion Picture - Foreign Language,"Italy, Giuseppe Tornatore",TRUE
1989,Best Motion Picture - Foreign Language,"France, Claude Chabrol",FALSE
1989,Best Motion Picture - Foreign Language,"France, Bruno Nuytten",FALSE
1989,Best Motion Picture - Foreign Language,"Canada, Denys Arcand",FALSE
1989,Best Motion Picture - Foreign Language,"Yugoslavia, Krsto Papic ",FALSE
1989,Best Original Score - Motion Picture,"Little Mermaid, The",TRUE
1989,Best Original Score - Motion Picture,Glory,FALSE
1989,Best Original Score - Motion Picture,Born on the Fourth of July,FALSE
1989,Best Original Score - Motion Picture,Casualties of War,FALSE
1989,Best Original Score - Motion Picture,"Fabulous Baker Boys, The",FALSE
1989,Best Original Song - Motion Picture,"Little Mermaid, The",TRUE
1989,Best Original Song - Motion Picture,Chances Are,FALSE
