id,duration,country,director
tt0017338,105,Austria,Robert Wiene
tt0017350,115,USA,Victor Sj繹str繹m
tt0017354,136,USA,Millard Webb
tt0017374,66,USA,John Ford
tt0017378,84,Soviet Union,"Grigoriy Kozintsev, Leonid Trauberg"
tt0017382,82,USA,Malcolm St. Clair
tt0017409,80,USA,Ernst Lubitsch
tt0017410,67,USA,Gregory La Cava
tt0017416,68,USA,George Fitzmaurice
tt0017419,90,USA,D.W. Griffith
tt0017423,110,USA,"William Beaudine, Tom McNamara"
tt0017437,75,USA,Frank Capra
tt0017438,110,Germany,Henrik Galeen
tt0017448,74,Germany,F.W. Murnau
tt0017449,117,USA,"Fred Niblo, Mauritz Stiller"
tt0017463,92,USA,John Ford
tt0017480,88,USA,Monta Bell
tt0017483,62,USA,Harry Edwards
tt0017519,120,USA,Cecil B. DeMille
tt0017534,95,USA,Edward Sedgwick
tt0017540,116,USA,Raoul Walsh
tt0017567,89,USA,Henry King
tt0017619,60,USA,Frank Urson
tt0017621,108,Germany,Henrik Galeen
tt0017632,90,USA,John S. Robertson
tt0017653,67,Soviet Union,"Ivan Pravov, Olga Preobrazhenskaya"
tt0017662,67,USA,"Rowland V. Lee, Mauritz Stiller"
tt0017667,99,USA,Alan Crosland
tt0017735,87,USA,John S. Robertson
tt0017736,132,"France, Germany",Alexandre Volkoff
tt0017739,108,USA,Paul Leni
tt0017750,118,USA,Frank Urson
tt0017751,70,USA,"Frank Lloyd, Josef von Sternberg"
tt0017765,66,USA,"James W. Horne, Buster Keaton"
tt0017809,60,Soviet Union,Boris Barnet
tt0017825,80,UK,Alfred Hitchcock
tt0017832,62,USA,Millard Webb
tt0017843,80,UK,Alfred Hitchcock
tt0017860,71,USA,Sam Wood
tt0017886,75,USA,Roy Del Ruth
tt0017918,115,USA,F. Richard Jones
tt0017925,67,USA,"Clyde Bruckman, Buster Keaton"
tt0017928,63,USA,Dorothy Arzner
tt0017938,45,France,Jean Epstein
tt0017961,95,Soviet Union,Aleksandr Medvedkin
tt0017998,120,UK,Maurice Elvey
tt0018014,85,USA,Mauritz Stiller
tt0018016,64,USA,Victor Fleming
tt0018033,72,USA,"Clarence G. Badger, Josef von Sternberg"
tt0018037,88,USA,Alan Crosland
tt0018045,135,France,Raymond Bernard
tt0018051,82,USA,"Ted Wilde, Harold Lloyd"
tt0018054,155,USA,Cecil B. DeMille
tt0018066,85,Soviet Union,"Vsevolod Pudovkin, Mikhail Doller"
tt0018087,104,Germany,Georg Wilhelm Pabst
tt0018097,69,USA,Tod Browning
tt0018102,60,USA,Frank Capra
tt0018107,82,USA,"Edmund Goulding, John Gilbert"
tt0018113,78,USA,Albert Parker
tt0018138,70,USA,Monta Bell
tt0018166,75,USA,Benjamin Christensen
tt0018179,91,USA,William Nigh
tt0018183,80,USA,Sam Taylor
tt0018192,240,France,Abel Gance
tt0018217,142,Soviet Union,"Grigoriy Aleksandrov, Sergei M. Eisenstein"
tt0018218,88,USA,Alan Crosland
tt0018235,70,USA,Alfred Santell
tt0018247,76,USA,Howard Hawks
tt0018253,150,USA,Alfred Santell
tt0018297,115,USA,Sidney Franklin
tt0018311,74,USA,Roscoe 'Fatty' Arbuckle
tt0018328,116,UK,Alfred Hitchcock
tt0018351,68,USA,Gregory La Cava
tt0018362,68,USA,Frank Peregini
tt0018379,110,USA,Frank Borzage
tt0018389,70,USA,William K. Howard
tt0018392,80,UK,"Anthony Asquith, A.V. Bramble"
tt0018397,76,USA,Tod Browning
tt0018413,80,USA,Edward Sedgwick
tt0018440,78,USA,Edward Sedgwick
tt0018451,106,USA,"Ernst Lubitsch, John M. Stahl"
tt0018455,94,USA,F.W. Murnau
tt0018464,57,USA,J.P. McGowan
tt0018471,103,USA,George W. Hill
tt0018487,70,USA,Hobart Henley
tt0018505,86,Soviet Union,Abram Room
tt0018513,85,USA,Jack Conway
tt0018515,92,USA,Lewis Milestone
tt0018523,60,"France, Germany",Ren矇 Clair
tt0018524,144,USA,Harry A. Pollard
tt0018526,80,USA,"Josef von Sternberg, Arthur Rosson"
tt0018528,63,USA,Tod Browning
tt0018530,60,USA,John Ford
tt0018566,111,USA,Alan Crosland
tt0018578,144,USA,"William A. Wellman, Harry d'Abbadie d'Arrast"
tt0018579,68,USA,W.S. Van Dyke
tt0018588,76,Germany,Curtis Bernhardt
tt0018615,107,Germany,Georg Wilhelm Pabst
tt0018618,85,USA,William Nigh
tt0018678,88,USA,D.W. Griffith
tt0018684,100,USA,William A. Wellman
tt0018722,70,USA,Jack Conway
tt0018737,109,Germany,Georg Wilhelm Pabst
tt0018742,76,USA,"Edward Sedgwick, Buster Keaton"
tt0018749,50,USA,Robert Z. Leonard
tt0018756,86,UK,Alfred Hitchcock
tt0018770,63,France,Jean Epstein
tt0018773,72,USA,Charles Chaplin
tt0018795,92,USA,"George W. Hill, Clarence Brown"
tt0018806,98,USA,King Vidor
tt0018826,87,France,Ren矇 Clair
tt0018836,80,USA,Victor Sj繹str繹m
tt0018839,76,USA,Josef von Sternberg
tt0018841,64,Soviet Union,Boris Barnet
tt0018862,90,Soviet Union,Nikoloz Shengelaia
tt0018876,100,UK,Alfred Hitchcock
tt0018879,88,USA,Howard Hawks
tt0018882,63,USA,Gregory La Cava
tt0018907,100,USA,F.W. Murnau
tt0018908,81,USA,"Merian C. Cooper, Lothar Mendes"
tt0018909,100,USA,John Ford
tt0018910,60,USA,William Nigh
tt0018927,79,USA,Lewis Milestone
tt0018935,107,Germany,William Dieterle
tt0018937,78,USA,Howard Hawks
tt0018972,80,USA,John Ford
tt0018990,78,Germany,Joe May
tt0018996,95,UK,Maurice Elvey
tt0019043,74,Japan,Teinosuke Kinugasa
tt0019067,78,USA,Robert Z. Leonard
tt0019071,88,USA,Josef von Sternberg
tt0019074,73,USA,Herbert Brenon
tt0019096,57,USA,Bryan Foy
tt0019098,80,USA,"George Fitzmaurice, Frank Lloyd"
tt0019109,69,USA,P獺l Fej繹s
tt0019127,102,France,Jean Gr矇millon
tt0019130,110,USA,Paul Leni
tt0019151,66,USA,Frank Capra
tt0019152,72,USA,James Cruze
tt0019182,75,USA,John Ford
tt0019186,137,UK,Ewald Andr矇 Dupont
tt0019195,96,USA,Fred Niblo
tt0019237,85,USA,Harry Beaumont
tt0019254,110,France,Carl Theodor Dreyer
tt0019258,78,USA,King Vidor
