id,title,year,genre
tt0011157,Erotikon,1920,"Comedy, Romance"
tt0011173,Fante-Anne,1920,"Crime, Drama, Romance"
tt0011193,The Flapper,1920,Comedy
tt0011217,Der Gang in die Nacht,1921,Drama
tt0011221,Genuine,1920,Horror
tt0011237,"Der Golem, wie er in die Welt kam",1920,"Fantasy, Horror"
tt0011267,Headin' Home,1920,"Biography, Comedy, Drama"
tt0011294,L'Hirondelle et la Mésange,1924,Drama
tt0011302,L'homme du large,1920,Drama
tt0011317,Humoresque,1920,Drama
tt0011358,Just Pals,1920,"Comedy, Drama, Western"
tt0011369,Der Klosterjäger,1920,Drama
tt0011370,Klostret i Sendomir,1920,Drama
tt0011371,Kohlhiesels Töchter,1920,"Comedy, Romance"
tt0011387,The Last of the Mohicans,1920,"Action, Adventure, Drama"
tt0011414,The Love Expert,1920,"Comedy, Romance"
tt0011439,The Mark of Zorro,1920,"Adventure, Romance, Western"
tt0011440,Markens grøde,1921,Drama
tt0011474,The Mollycoddle,1920,"Adventure, Comedy, Romance"
tt0011513,Nomads of the North,1920,Drama
tt0011565,The Penalty,1920,"Crime, Drama, Horror"
tt0011588,Pollyanna,1920,"Family, Comedy, Drama"
tt0011607,Prästänkan,1920,"Comedy, Drama, Horror"
tt0011641,Romeo und Julia im Schnee,1920,Comedy
tt0011647,The Round-Up,1920,"Comedy, Western"
tt0011652,The Saphead,1920,Comedy
tt0011679,Sex,1920,Drama
tt0011716,Something to Think About,1920,Drama
tt0011723,"Die Spinnen, 2. Teil - Das Brillantenschiff",1920,Adventure
tt0011741,Suds,1920,"Comedy, Drama, Romance"
tt0011742,Sumurun,1920,"Adventure, Drama, Romance"
tt0011753,Terror Island,1920,Mystery
tt0011779,The Toll Gate,1920,"Adventure, Drama, Western"
tt0011833,Von morgens bis mitternachts,1920,"Drama, Thriller"
tt0011837,Das wandernde Bild,1920,Romance
tt0011841,Way Down East,1920,"Drama, Romance"
tt0011865,Why Change Your Wife?,1920,"Comedy, Drama"
tt0011870,Within Our Gates,1920,"Drama, Romance"
tt0011904,The Ace of Hearts,1921,"Crime, Drama, Mystery"
tt0011909,The Affairs of Anatol,1921,"Comedy, Drama"
tt0011948,Be My Wife,1921,Comedy
tt0011960,Die Bergkatze,1921,"Comedy, Drama, Romance"
tt0011979,The Blot,1921,Drama
tt0012016,Buried Treasure,1921,"Adventure, Fantasy, Romance"
tt0012027,Camille,1921,"Drama, Romance"
tt0012068,The Conquering Power,1921,"Drama, Romance"
tt0012122,Dream Street,1921,"Comedy, Drama, Romance"
tt0012125,Ducks and Drakes,1921,"Comedy, Romance"
tt0012134,Eldorado,1921,Drama
tt0012136,Enchantment,1921,Comedy
tt0012187,Forbidden Fruit,1921,Drama
tt0012190,The Four Horsemen of the Apocalypse,1921,"Drama, Romance, War"
tt0012249,Hamlet,1921,Drama
tt0012281,Hintertreppe,1921,Drama
