id,director
tt0014358,Charles Chaplin
tt0014397,Robert Wiene
tt0014416,Ernst Lubitsch
tt0014417,Abel Gance
tt0014429,Fred C. Newmeyer
tt0014440,Rex Ingram
tt0014446,Georg Wilhelm Pabst
tt0014463,Lambert Hillyer
tt0014497,Rupert Hughes
tt0014516,Karl Grune
tt0014524,Lupu Pick
tt0014532,Cecil B. DeMille
tt0014538,Edward F. Cline
tt0014586,Leo Birinsky
tt0014604,D.W. Griffith
tt0014605,Henry King
tt0014606,Tod Browning
tt0014611,Fred C. Newmeyer
tt0014624,Charles Chaplin
tt0014636,Allan Dwan
tt0014646,Yakov Protazanov
tt0014672,D.W. Griffith
tt0014702,Harry Beaumont
tt0014721,Frank Lloyd
tt0014760,Edward F. Cline
tt0014770,Lewis H. Moomaw
tt0014854,Marshall Neilan
tt0014869,John S. Robertson
tt0014874,William A. Seiter
tt0014898,Jean Renoir
tt0014900,F.W. Murnau
tt0014925,Ernst Lubitsch
tt0014945,Fred C. Newmeyer
tt0014972,Victor Sjöström
tt0014982,Sidney Franklin
tt0015002,Fred C. Newmeyer
tt0015014,Marcel L'Herbier
tt0015016,John Ford
tt0015018,D.W. Griffith
tt0015022,E. Mason Hopper
tt0015036,Alexandre Volkoff
tt0015064,F.W. Murnau
tt0015116,Allan Dwan
tt0015119,Ernst Lubitsch
tt0015136,Carl Theodor Dreyer
tt0015145,Sidney Olcott
tt0015163,Donald Crisp
tt0015167,Lev Kuleshov
tt0015174,Fritz Lang
tt0015175,Fritz Lang
tt0015202,Robert Wiene
tt0015213,Yuri Zhelyabuzhsky
tt0015224,Herbert Brenon
tt0015268,Fred Niblo
tt0015289,Henry King
tt0015310,Frank Lloyd
tt0015312,Frank Borzage
tt0015324,Buster Keaton
tt0015361,Sergei M. Eisenstein
tt0015400,Raoul Walsh
tt0015493,Graham Cutts
tt0015498,King Vidor
tt0015500,King Vidor
tt0015518,Robert G. Vignola
tt0015532,Lotte Reiniger
tt0015624,King Vidor
tt0015634,Oscar Micheaux
tt0015643,Alan Hale
tt0015648,Sergei M. Eisenstein
tt0015684,Frank Borzage
tt0015687,Noel M. Smith
tt0015693,Joseph Henabery
tt0015758,Donald Crisp
tt0015768,Carl Theodor Dreyer
tt0015772,Clarence Brown
tt0015794,René Clair
tt0015801,Marcel L'Herbier
tt0015841,Fred C. Newmeyer
tt0015842,Georg Wilhelm Pabst
tt0015861,Carl Theodor Dreyer
tt0015863,Buster Keaton
tt0015864,Charles Chaplin
tt0015872,Clarence Brown
tt0015881,Erich von Stroheim
tt0015883,Jacques Feyder
tt0015909,Sidney Franklin
tt0015935,Pedro Sienna
tt0016004,Ernst Lubitsch
tt0016005,Monta Bell
tt0016006,Frank Borzage
tt0016013,Frank Borzage
tt0016023,Monta Bell
tt0016028,William Beaudine
tt0016029,David Butler
tt0016039,Harry O. Hoyt
tt0016104,Erich von Stroheim
tt0016123,Roland West
tt0016185,Buntarô Futagara
tt0016201,Louis J. Gasnier
tt0016205,Clarence G. Badger
tt0016220,Rupert Julian
tt0016226,Wesley Ruggles
tt0016230,Alfred Hitchcock
tt0016232,Julien Duvivier
tt0016240,Franz Osten
tt0016241,Monta Bell
tt0016258,Edward F. Cline
tt0016276,Walter Lang
tt0016288,Lynn Reynolds
tt0016294,Cecil B. DeMille
tt0016308,D.W. Griffith
tt0016309,Edmund Goulding
tt0016310,Josef von Sternberg
tt0016332,Buster Keaton
tt0016338,Leander De Cordova
tt0016377,John S. Robertson
tt0016392,H.K. Breslauer
tt0016394,Allan Dwan
tt0016395,Henry King
tt0016461,King Baggot
tt0016473,Tod Browning
tt0016480,George B. Seitz
tt0016481,Ewald André Dupont
tt0016491,Jacques Feyder
tt0016493,René Clair
tt0016544,Larry Semon
tt0016545,George Chesebro
tt0016548,Malcolm St. Clair
tt0016559,Yakov Protazanov
tt0016560,George W. Hill
tt0016563,Arthur von Gerlach
tt0016627,King Vidor
tt0016629,Roland West
tt0016630,Buster Keaton
tt0016634,Herbert Brenon
tt0016640,James Young
tt0016641,Fred Niblo
tt0016643,Charles Reisner
tt0016646,Sidney Franklin
tt0016654,Albert Parker
tt0016655,Tod Browning
tt0016664,John Ford
tt0016669,King Vidor
tt0016672,William A. Wellman
tt0016690,Jack Conway
tt0016691,Rasmus Breistein
tt0016762,Herbert Brenon
tt0016804,Alan Crosland
tt0016822,Alfred E. Green
tt0016827,Paul Sloane
tt0016832,Sam Taylor
tt0016847,F.W. Murnau
tt0016854,Howard Hawks
tt0016871,Richard Rosson
tt0016884,Clarence Brown
tt0016895,Sam Taylor
tt0016914,Georg Wilhelm Pabst
tt0016939,Lewis Seiler
tt0016947,Clarence G. Badger
tt0016953,Arnold Fanck
tt0016971,Harry Edwards
tt0017004,A. Edward Sutherland
tt0017028,Frank Tuttle
tt0017029,Clarence Brown
tt0017048,Teinosuke Kinugasa
tt0017075,Alfred Hitchcock
tt0017082,Frank Tuttle
tt0017096,Guido Brignone
tt0017103,Rex Ingram
tt0017119,Victor Fleming
tt0017120,Rex Ingram
tt0017128,Vsevolod Pudovkin
tt0017136,Fritz Lang
tt0017159,Boris Barnet
tt0017195,Amo Bek-Nazaryan
tt0017196,Jean Renoir
tt0017198,Herbert Wilcox
tt0017226,James Cruze
tt0017271,Lev Kuleshov
tt0017293,Yakov Protazanov
tt0017329,Tod Browning
tt0017338,Robert Wiene
tt0017350,Victor Sjöström
tt0017354,Millard Webb
tt0017374,John Ford
tt0017378,Grigoriy Kozintsev
tt0017382,Malcolm St. Clair
tt0017409,Ernst Lubitsch
tt0017410,Gregory La Cava
tt0017416,George Fitzmaurice
tt0017419,D.W. Griffith
tt0017423,William Beaudine
tt0017437,Frank Capra
tt0017438,Henrik Galeen
tt0017448,F.W. Murnau
